TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance (kW),Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB,fault type
54.13,53.8,50.59,50.3,86.15,85.8,89.75,89.6,88.21,61.96,54.02,54.26,40.19,17.21,292.8,-269.9,31.71,30.76,2.113,1.161,44.49,2.506,1.403,267.8,215.2,6.2,2.1,44.1,39.3,91.7,107.7,4.7,50.0,5.7,143.6,52.1,68.2,51,49,14.69,10.4,9.675,20,0,122.5,116.0,136.0,95.4,3.6,3.5,40.0,0.0,100,5.0,49.0,56,20.0,58.55,79.24,55.18,54.71,19.97,50.71,239.7,F2
53.15,53.2,50.35,50.1,75.62,75.7,78.45,78.6,77.27,58.89,52.92,53.28,31.35,13.03,204.1,-185.8,25.18,23.12,3.225,1.164,35.61,2.486,1.414,266.5,215.9,6.3,1.5,44.0,39.2,80.1,86.9,3.7,50.1,6.1,145.4,65.0,47.7,42,40,13.92,12.63,10.89,20,0,122.0,115.7,130.0,89.5,2.7,2.9,45.0,0.0,100,10.0,47.0,56,23.21,56.75,71.01,54.6,54.05,21.93,77.4,236.3,F2
60.93,61.1,51.04,50.9,85.41,85.3,94.78,94.8,92.42,77.93,60.49,61.1,104.3,26.26,161.2,-83.16,88.83,84.93,5.43,1.531,80.2,3.894,0.9028,266.9,215.7,8.0,5.9,43.2,38.0,100.4,125.1,10.3,47.7,4.8,124.0,23.6,87.6,95,91,25.96,7.081,5.533,20,0,119.5,114.0,139.4,100.2,9.5,10.2,65.0,0.0,100,46.0,49.0,56,27.0,58.43,79.9,64.88,62.81,29.36,63.11,126.2,F2
44.55,44.6,41.05,40.9,80.82,80.7,84.51,84.3,83.29,54.68,44.61,44.8,41.39,13.65,321.6,-293.8,31.41,31.93,1.75,2.267,43.61,2.532,1.389,269.7,215.7,3.2,2.0,37.7,33.0,86.3,97.8,4.4,40.5,2.8,132.9,47.2,64.9,51,49,8.524,5.858,9.675,20,0,117.6,112.2,130.5,96.7,3.6,3.7,15.0,0.0,100,8.0,49.0,56,23.0,60.64,76.09,45.02,45.08,21.21,42.0,242.9,F2
44.63,45.8,40.56,40.9,69.69,68.6,73.78,72.8,73.18,56.56,44.81,45.17,46.07,6.761,187.1,-147.8,36.16,37.77,3.187,4.79,39.92,3.186,1.104,270.2,213.3,3.7,2.5,37.2,32.5,75.3,79.4,2.8,40.1,3.2,122.5,47.5,46.5,47,45,5.083,3.138,10.19,20,0,115.7,111.8,125.6,92.2,4.4,4.9,20.0,0.0,100,36.55,48.83,56,22.0,60.56,68.23,45.14,45.17,21.16,76.49,215.6,F2
52.82,52.8,50.02,50.0,75.83,75.9,78.73,78.6,77.48,58.77,52.63,53.03,32.4,14.0,208.6,-190.2,25.09,23.4,3.58,1.894,35.86,2.46,1.429,267.6,215.1,6.5,1.8,43.5,38.7,80.4,87.4,3.7,49.6,6.0,141.7,61.9,47.7,42,40,10.15,8.912,10.89,20,0,119.7,114.0,131.0,91.2,2.7,2.8,45.0,0.0,100,10.0,47.0,56,28.01,56.79,69.99,54.36,53.77,25.47,85.92,237.6,F2
54.87,55.0,44.86,44.8,69.85,69.7,79.18,79.1,76.74,69.78,53.9,54.95,104.2,27.26,77.63,-0.74,89.41,80.77,9.424,0.7906,66.11,4.755,0.7394,267.8,214.5,7.2,5.2,37.6,32.9,84.3,94.3,8.6,41.7,4.1,106.9,22.6,61.3,77,74,14.26,3.895,7.045,20,0,114.5,111.1,132.0,98.5,9.4,10.2,85.0,30.0,100,90.0,57.0,56,66.53,59.82,64.75,62.22,58.68,132.8,63.91,-10.85,F2
48.36,48.3,45.35,45.4,75.67,75.6,78.78,78.4,77.6,55.9,48.33,48.57,34.66,13.08,241.8,-220.2,26.79,26.58,2.102,1.885,37.1,2.539,1.385,267.5,214.1,5.1,1.7,40.3,35.3,80.1,86.9,3.1,44.8,4.4,136.5,56.4,52.1,43,41,9.445,7.75,10.74,20,0,116.2,111.1,131.0,94.3,2.7,2.9,20.0,0.0,100,10.0,48.0,56,25.0,59.33,71.01,48.79,48.81,26.88,50.46,238.1,F2
59.04,58.5,50.72,50.3,76.16,76.0,84.18,83.8,81.41,71.22,58.24,59.05,88.65,30.61,112.6,-54.57,74.84,67.63,7.27,0.05898,60.52,4.348,0.8086,265.2,215.7,7.7,4.5,42.4,37.5,88.3,101.3,7.6,47.5,5.1,115.1,27.0,63.6,71,68,11.96,3.837,7.617,20,0,117.4,113.1,135.0,96.8,7.8,8.4,80.0,0.0,100,43.1,47.31,56,54.0,58.68,67.66,64.51,61.83,81.83,65.13,105.9,F2
51.18,51.2,41.71,41.4,66.53,66.5,75.34,75.6,73.38,66.51,50.62,51.23,98.08,21.75,76.62,-0.2833,84.44,79.48,5.385,0.4235,62.87,4.722,0.7445,267.5,213.9,5.6,5.4,35.8,31.3,81.0,88.4,8.2,39.1,3.3,103.5,22.5,57.1,74,71,14.88,4.316,7.328,20,0,114.5,111.1,129.0,96.2,8.9,9.7,65.0,0.0,100,90.0,57.0,56,85.43,60.6,63.93,55.71,53.52,156.8,59.07,-9.982,F2
43.73,43.9,40.4,40.4,80.37,80.4,84.14,84.0,82.88,53.98,43.79,44.02,42.2,14.08,324.0,-295.9,29.82,30.34,2.11,2.625,44.54,2.354,1.493,269.0,214.9,2.7,4.6,37.7,33.0,88.9,102.3,7.2,40.2,2.4,136.5,47.9,68.6,51,49,1.014,0.6834,9.675,20,0,114.5,108.4,144.4,110.4,3.8,3.5,20.0,0.0,100,8.0,49.0,56,23.0,59.78,75.56,44.2,44.27,21.41,50.65,243.8,F3
61.05,61.1,50.92,50.8,75.79,75.7,85.33,84.7,82.88,75.68,60.29,61.1,105.4,26.99,79.57,-1.186,90.92,84.09,7.262,0.4271,74.01,4.32,0.8139,265.1,215.5,9.3,10.6,41.5,36.6,95.3,114.7,13.6,47.0,5.4,119.2,23.7,78.6,86,82,23.22,6.269,6.317,20,0,117.4,112.9,149.9,113.2,9.0,10.3,70.94,23.96,100,100.0,57.0,56,46.79,58.92,68.84,66.52,63.71,65.29,62.2,-15.07,F3
55.44,55.5,49.2,49.3,85.53,85.3,91.63,91.2,89.89,68.93,55.25,55.69,68.15,19.52,234.2,-185.6,56.19,54.5,3.967,2.273,62.0,3.186,1.103,268.2,216.2,6.5,7.3,42.6,37.7,98.5,121.1,10.3,47.2,4.9,132.9,34.4,83.6,71,68,19.97,8.335,7.617,20,0,117.6,112.0,152.8,114.0,5.9,6.2,48.46,0.0,100,25.0,49.0,56,22.0,58.96,79.9,57.18,56.47,22.38,95.22,205.8,F3
54.74,55.5,46.95,46.8,78.7,78.3,86.35,85.8,84.85,71.42,54.84,55.08,84.55,16.58,148.3,-80.33,69.42,70.29,2.099,2.976,65.89,3.704,0.9492,265.1,213.7,6.7,9.4,40.3,35.3,94.8,113.7,11.8,44.6,4.3,123.0,28.2,78.4,77,74,12.66,4.26,7.045,20,0,118.3,112.7,147.9,111.3,7.3,8.5,0.0,0.0,100,51.19,49.78,56,27.36,59.74,75.8,55.22,55.12,24.78,50.37,139.4,F3
54.78,53.6,46.38,46.3,78.57,78.9,86.47,85.4,83.78,68.07,53.65,54.34,88.19,30.01,175.5,-117.3,75.13,65.03,6.13,-3.965,62.1,4.254,0.8266,267.9,214.4,6.8,8.3,39.5,34.6,93.7,111.7,10.3,43.9,4.4,120.9,27.2,76.4,72,69,16.19,5.22,7.52,20,0,113.1,108.6,149.9,114.0,6.5,7.3,65.0,0.0,100,30.0,48.0,56,59.0,59.74,68.11,58.57,56.75,86.11,80.86,168.6,F3
56.26,56.5,49.94,50.0,66.41,66.4,72.31,71.8,70.8,66.06,55.99,56.43,66.96,17.06,53.91,-4.009,56.53,54.11,3.939,1.524,46.57,4.268,0.8238,272.6,214.6,7.9,8.9,42.1,37.2,80.7,87.9,10.9,47.8,5.7,115.7,34.9,50.0,52,50,9.889,4.201,9.553,20,0,111.6,108.4,144.9,106.7,5.6,6.5,50.0,0.0,100,80.0,56.0,56,60.0,59.0,62.7,58.16,57.37,110.7,94.53,-1.007,F3
49.46,49.6,41.75,41.5,79.92,80.0,87.25,87.0,85.54,66.47,49.31,49.67,81.59,19.0,212.4,-149.8,68.87,67.55,3.202,1.887,67.6,3.582,0.9816,267.2,214.3,3.9,7.0,37.6,32.9,94.0,112.2,10.0,40.2,2.6,121.2,26.9,79.3,78,75,22.88,7.977,6.952,20,0,112.0,108.4,146.9,113.4,7.1,8.1,45.0,0.0,100,32.0,49.0,56,30.54,59.62,75.19,51.16,50.53,29.28,76.84,182.2,F3
43.57,43.6,39.99,40.1,66.29,66.1,70.05,69.5,68.92,53.08,43.58,43.86,42.13,12.68,177.3,-147.8,31.91,32.06,2.468,2.616,37.61,2.983,1.179,268.6,214.1,2.9,6.5,37.2,32.5,76.0,80.4,7.7,39.8,2.6,122.7,46.7,48.5,43,41,1.678,1.133,10.74,20,0,109.4,105.5,141.9,108.1,3.4,3.5,25.0,0.0,100,22.0,47.0,56,60.0,60.23,62.66,43.96,44.02,125.3,59.24,220.0,F3
51.51,51.9,45.07,44.9,76.03,76.2,82.5,82.2,80.43,64.26,50.95,51.84,71.86,23.05,179.7,-130.8,57.59,52.62,7.962,2.988,56.68,3.572,0.9842,266.7,214.5,5.8,8.3,39.1,34.2,90.5,105.2,10.5,43.0,4.4,121.2,30.7,71.4,65,62,6.515,2.579,8.219,20,0,112.9,108.2,146.9,112.1,6.2,6.6,75.0,0.0,100,30.0,48.0,56,52.0,59.66,69.66,57.35,54.67,55.31,71.33,188.6,F3
55.77,56.0,49.41,49.5,85.57,85.4,91.67,91.4,89.93,69.05,55.58,55.94,68.44,19.6,234.3,-185.4,57.06,55.37,3.216,1.528,61.98,3.237,1.086,269.3,215.3,7.1,7.3,42.4,37.5,98.7,121.6,10.5,47.5,5.1,133.2,34.2,84.4,71,68,21.96,9.127,7.617,20,0,117.8,112.0,150.9,112.4,6.0,6.5,50.0,0.0,100,25.0,49.0,56,25.0,58.92,79.28,57.75,56.88,23.11,77.18,205.7,F3
58.59,58.9,49.28,49.1,71.16,71.1,80.82,80.5,77.77,70.93,57.09,58.72,98.12,31.05,69.41,-2.338,83.86,70.36,14.66,1.166,62.42,4.723,0.7444,243.8,216.2,8.1,5.5,41.0,36.1,86.0,97.3,8.5,46.1,5.1,110.7,24.5,60.5,72,69,12.27,3.557,7.52,20,0,116.9,113.8,138.5,101.9,9.4,9.8,90.0,100.0,100,100.0,46.0,56,66.97,59.21,65.69,69.83,64.21,115.0,62.54,-3.339,F4
47.09,47.2,40.32,40.4,65.96,65.3,73.08,71.8,71.26,61.15,46.9,47.38,73.82,18.95,104.8,-49.91,60.67,58.98,4.313,2.627,48.44,4.403,0.7985,248.7,215.1,4.8,4.2,35.6,31.1,76.0,80.4,6.3,38.7,3.3,104.5,28.0,48.8,55,53,2.208,0.8506,9.199,20,0,108.6,106.7,132.0,100.1,6.5,6.8,42.12,0.0,100,50.0,43.0,56,67.0,59.41,62.95,48.75,48.28,128.8,103.5,108.7,F4
49.79,49.8,40.44,40.2,80.54,80.5,90.57,90.1,87.76,68.02,48.95,49.92,99.89,28.0,196.5,-124.6,83.85,76.28,8.723,1.161,77.88,3.785,0.9289,239.0,215.2,3.3,4.4,37.1,32.4,94.5,113.2,9.1,37.8,0.7,117.1,22.6,81.0,91,87,21.49,6.12,5.877,20,0,112.9,109.4,142.9,109.5,9.6,9.4,60.0,0.0,100,36.0,42.0,56,46.0,60.19,75.48,55.99,53.15,43.97,73.64,146.2,F4
56.26,56.5,45.07,45.1,75.91,75.9,88.07,87.8,84.77,74.0,55.21,56.35,120.0,32.59,106.2,-18.83,100.2,90.81,10.17,0.7925,84.54,4.167,0.8438,236.8,214.8,6.4,6.3,38.5,33.7,94.0,112.2,10.3,42.0,3.5,115.6,21.3,78.4,99,95,15.06,3.57,5.194,20,0,115.6,111.8,141.4,106.9,11.8,11.6,70.0,30.0,100,70.0,43.0,56,52.0,59.5,71.18,64.02,60.19,66.95,63.82,34.31,F4
46.27,46.4,40.52,40.5,80.21,80.0,86.64,86.1,84.81,60.29,46.04,46.44,64.23,18.28,245.1,-199.1,51.32,49.27,3.567,1.521,55.43,3.255,1.08,239.9,214.3,3.5,3.8,36.9,32.2,89.9,104.2,6.6,39.6,2.5,121.7,32.1,71.3,63,60,10.03,4.44,8.428,20,0,113.3,109.2,139.0,106.1,6.1,6.0,40.0,0.0,100,23.0,42.0,56,25.0,60.23,76.5,48.54,47.71,26.97,85.6,191.7,F4
44.88,43.9,39.87,39.6,82.13,83.2,87.78,88.2,85.42,57.87,44.52,44.8,56.39,23.57,275.1,-242.3,44.86,41.71,2.476,-0.6741,51.79,3.045,1.155,239.6,214.9,2.2,2.5,37.2,32.5,90.7,105.7,6.7,39.1,1.9,122.2,31.5,72.2,56,54,11.24,5.669,9.084,20,0,113.3,109.0,138.0,104.6,5.0,4.5,20.0,0.0,100,8.0,42.0,56,36.0,60.48,76.25,46.54,46.19,35.86,59.43,203.3,F4
47.62,47.5,44.9,44.8,75.5,75.6,78.69,78.7,77.52,54.92,47.55,47.83,32.34,11.89,228.9,-208.5,24.31,23.73,2.475,1.891,36.69,2.33,1.509,243.2,214.8,3.4,1.7,41.2,36.3,80.4,87.4,3.9,44.8,3.3,138.7,58.0,51.1,42,40,8.479,7.458,10.89,20,0,118.1,113.1,136.5,99.4,3.5,2.6,20.0,0.0,100,10.0,42.0,56,32.0,59.91,71.51,48.3,48.16,24.61,59.4,217.9,F4
49.22,49.3,39.99,39.9,65.14,65.0,74.64,74.4,72.44,64.91,48.62,49.43,96.16,22.25,76.24,-2.33,82.82,77.45,7.26,1.897,60.48,4.814,0.7303,243.0,215.4,4.2,5.4,35.6,31.1,79.8,86.4,9.5,38.0,2.2,102.1,22.5,55.3,70,67,13.56,4.012,7.715,20,0,109.0,107.3,137.0,101.7,9.4,9.2,70.0,0.0,100,100.0,46.0,56,77.19,59.58,63.32,54.19,51.96,142.8,78.17,-3.862,F4
56.05,56.1,45.15,45.1,71.33,71.1,82.75,82.5,79.16,71.05,54.39,56.14,116.2,36.53,82.46,-2.759,98.28,83.3,15.78,0.7978,75.46,4.579,0.7678,244.2,216.3,7.2,6.1,38.0,33.2,88.6,101.8,10.2,41.5,3.8,109.8,21.2,69.3,88,84,12.36,3.025,6.14,20,0,113.6,110.7,138.5,104.5,11.3,11.2,70.0,100.0,100,84.97,45.25,56,73.0,59.7,65.69,69.1,62.57,146.4,58.0,-2.498,F4
56.26,56.3,50.02,50.0,76.24,76.0,82.95,82.7,80.55,66.55,55.29,56.43,67.61,24.19,141.0,-97.57,56.1,47.41,10.22,1.532,51.2,3.853,0.9126,241.7,215.8,7.4,3.6,42.6,37.7,86.3,97.8,6.6,48.0,5.2,119.9,33.4,60.1,58,56,10.75,4.523,8.86,20,0,115.3,111.1,141.4,102.6,6.7,6.3,80.0,0.0,100,32.0,42.0,56,50.0,59.54,70.03,63.73,60.11,55.33,67.75,160.4,F4
47.09,47.2,39.99,39.9,65.02,65.0,71.24,70.8,69.82,60.74,46.94,47.38,69.43,15.84,101.4,-47.8,57.78,56.58,3.585,2.386,46.62,4.358,0.8069,267.8,195.4,3.9,3.9,36.0,31.4,74.7,78.4,6.3,38.5,2.5,103.7,29.0,47.5,53,51,5.65,2.314,9.433,20,0,108.0,105.7,132.0,100.1,6.0,7.3,49.39,0.0,100,50.0,48.0,42,63.0,59.91,63.32,48.79,48.24,111.5,86.03,118.4,F5
52.08,52.2,39.99,39.8,70.63,70.4,81.07,80.8,78.38,70.52,51.16,52.29,116.5,30.0,87.67,-1.197,98.4,90.87,9.247,1.719,77.11,4.487,0.7837,267.8,195.3,5.2,6.4,34.7,30.3,87.2,99.3,10.1,36.8,1.8,107.1,19.9,68.5,90,86,13.53,3.305,5.964,20,0,110.7,108.0,136.5,105.2,10.4,12.4,70.0,30.0,100,85.0,57.0,42,58.44,60.19,66.76,58.78,55.69,109.7,71.85,-9.758,F5
50.53,50.6,40.03,39.9,80.62,80.4,89.63,89.4,87.1,69.21,49.6,50.74,100.2,28.09,199.0,-126.9,85.34,77.82,9.24,1.718,79.62,3.769,0.933,267.0,195.1,3.4,3.1,36.5,31.9,92.5,109.2,7.4,37.1,0.8,114.9,22.2,76.8,93,89,27.46,7.797,5.704,20,0,112.0,109.0,139.0,106.9,9.0,10.7,70.0,30.0,100,36.0,49.0,42,41.0,59.82,74.62,57.84,54.38,45.57,64.15,162.6,F5
43.89,43.9,40.23,40.1,70.71,70.8,74.19,74.4,72.97,52.83,43.7,44.06,38.94,13.6,225.5,-200.1,29.72,28.19,2.912,1.384,37.96,2.753,1.277,268.7,195.0,2.8,1.9,37.1,32.4,76.3,80.9,4.4,39.9,2.5,124.2,47.9,48.9,44,42,5.553,4.055,10.6,20,0,111.3,108.0,134.0,100.6,3.6,3.8,30.0,0.0,100,15.0,48.0,42,45.54,60.11,67.12,45.72,45.08,46.53,69.89,235.1,F5
53.43,53.6,49.9,50.0,62.4,62.2,65.51,65.3,64.54,59.34,53.33,53.6,34.99,10.9,58.46,-34.37,28.91,28.04,2.262,1.393,32.13,3.163,1.112,270.0,196.2,8.2,2.0,41.8,36.9,67.4,67.5,3.4,49.1,7.3,126.0,58.6,30.3,37,36,10.76,8.749,11.53,20,0,114.0,109.8,130.0,92.1,3.1,3.6,30.0,0.0,100,40.0,47.0,42,52.0,55.48,59.39,54.11,53.93,67.06,54.28,140.5,F5
50.89,50.6,45.07,44.8,66.0,66.1,71.04,70.8,69.54,61.1,50.79,50.98,56.55,16.87,94.71,-55.02,47.34,46.48,1.582,0.719,41.82,3.98,0.8835,269.6,194.9,6.5,3.6,38.3,33.5,74.4,78.0,5.4,43.0,4.7,110.5,36.4,44.5,47,45,9.435,4.745,10.19,20,0,109.2,106.9,132.5,97.8,4.9,5.8,0.0,0.0,100,36.9,47.34,42,66.0,59.37,63.11,51.33,51.31,108.3,37.97,137.3,F5
53.6,53.6,49.94,50.0,62.97,62.5,66.29,65.6,65.11,59.75,53.53,53.77,37.26,13.2,60.26,-36.19,29.76,29.23,1.917,1.386,32.44,3.226,1.09,269.8,195.2,7.2,2.5,42.8,37.9,68.1,68.5,2.6,49.1,6.2,123.2,55.4,30.1,37,36,6.056,4.623,11.53,20,0,112.4,109.2,131.5,92.0,3.0,3.8,30.0,0.0,100,40.0,47.0,42,57.0,55.44,59.06,54.32,54.09,87.61,46.01,138.9,F5
50.57,50.4,39.91,39.8,66.7,66.7,75.75,75.6,73.51,66.63,49.64,50.74,101.0,24.98,76.73,-0.7415,86.59,79.07,8.898,1.384,63.57,4.789,0.7342,267.8,194.9,4.8,5.6,35.0,30.5,81.3,88.9,9.1,37.3,2.3,102.7,21.4,58.4,73,70,13.01,3.664,7.424,20,0,110.7,108.6,136.5,105.2,9.2,10.6,70.0,0.0,100,100.0,57.0,42,86.62,59.95,63.85,56.94,54.05,153.7,74.05,-8.182,F5
51.59,51.7,44.12,44.1,65.59,65.4,71.9,71.5,70.56,64.18,51.36,51.76,71.01,15.07,71.91,-15.97,60.2,58.36,3.22,1.374,47.43,4.462,0.7879,270.4,193.5,6.5,4.2,37.6,32.9,75.7,79.9,6.3,41.7,4.1,105.7,30.2,46.9,53,51,9.439,3.781,9.433,20,0,109.2,106.9,133.0,99.3,6.1,7.8,44.58,0.0,100,65.0,51.0,42,55.0,59.33,63.77,53.5,52.74,81.56,77.28,50.96,F5
56.46,56.6,49.98,50.0,74.56,74.4,80.21,80.0,78.17,66.3,55.58,56.63,62.82,22.62,132.0,-91.81,52.88,45.67,8.601,1.389,48.2,3.857,0.9115,266.9,195.7,8.0,3.8,42.0,37.1,83.8,93.3,6.0,47.8,5.8,119.0,35.5,54.7,55,53,13.28,6.011,9.199,20,0,113.8,110.7,139.9,102.0,5.4,6.6,80.0,0.0,100,32.0,47.0,42,40.0,55.57,68.23,63.16,59.99,42.86,65.11,174.6,F5
48.77,48.8,45.19,45.4,85.37,85.3,89.05,88.9,87.67,58.07,48.7,48.94,41.44,15.51,333.0,-307.1,31.95,31.37,2.105,1.522,45.8,2.453,1.433,270.0,214.4,4.9,2.3,40.4,35.4,91.2,106.7,4.7,44.6,4.3,141.0,49.2,71.9,52,50,12.45,8.543,9.553,20,0,117.8,112.0,137.0,100.4,3.6,3.5,30.0,0.0,100,5.0,49.0,56,18.0,58.19,80.43,49.98,49.59,16.73,50.51,244.6,F6
46.55,46.6,39.66,39.4,71.37,71.2,77.92,77.6,76.25,61.31,46.28,46.77,73.79,18.76,168.3,-113.3,62.08,59.65,4.334,1.903,52.78,4.136,0.8501,270.4,216.1,4.0,3.7,35.4,30.9,81.3,88.9,6.4,38.4,3.0,108.8,27.3,58.1,60,58,11.62,4.481,8.641,20,0,109.6,106.7,131.0,99.7,6.5,7.0,50.0,0.0,100,33.0,48.0,56,51.71,59.62,67.37,48.83,47.95,58.09,104.0,174.6,F6
48.36,48.5,45.39,45.4,75.54,75.6,78.61,78.4,77.48,55.9,48.33,48.57,34.49,12.73,242.4,-220.7,26.5,26.28,2.108,1.89,36.88,2.526,1.392,269.7,214.6,4.4,2.0,41.0,36.1,80.4,87.4,3.7,45.3,4.5,137.8,57.4,51.5,43,41,8.789,7.248,10.74,20,0,118.5,113.6,133.5,96.3,2.8,3.1,20.0,0.0,100,10.0,48.0,56,25.0,58.51,71.18,48.79,48.81,24.13,50.59,240.5,F6
